price,model,energy,gear_box,kilometers,year,zip_code,cylinder,horsepower,picture,origin,firstCirculationDate,technicalControl,firstHand,owners,externalColor,internalColor,doors,seats,length,trunkVolumeRange,ratedHorsePower,pollutionNorm,critAir,co2,page
21 940 €,PEUGEOT 308 II phase 2,Essence,Automatique,72 096 km,2019,78 ‌,1.2,130,https://image-annonce.lacentrale.fr/480x369/W102663011_STANDARD_0.jpg?version=1683887379,France,20/02/2019,Requis,Non,2,bleu marine metal,cuir/tissu noir,5,5,4,25 m,Grand coffre,7 CV,EURO6,1,B,5
12 940 €,CITROEN C3 III,Essence,Manuelle,68 126 km,2020,24 ‌,1.2,68,https://image-annonce.lacentrale.fr/480x369/E112290090_STANDARD_0.jpg?version=1683886745,France,23/06/2020,Non requis,Oui,,vert,,5,5,4 m,Grand coffre,4 CV,EURO6,1,B,5
17 710 €,RENAULT CAPTUR phase 2,Essence,Manuelle,58 575 km,2020,24 ‌,0.9,90,https://image-annonce.lacentrale.fr/480x369/E112290101_STANDARD_0.jpg?version=1683886280,France,05/09/2020,Non requis,Oui,,gris clair,,5,5,4,12 m,Moyen Coffre,5 CV,EURO6,1,C,5
32 840 €,SEAT ATECA phase 2,Diesel,Manuelle,62 646 km,2022,33 ‌,2,150,https://image-annonce.lacentrale.fr/480x369/E112290274_STANDARD_0.jpg?version=1683886692,France,31/07/2022,Non requis,Non,,noir,gris,5,5,4,38 m,Moyen Coffre,8 CV,EURO6,2,C,5
29 660 €,SEAT ATECA phase 2,Diesel,Manuelle,61 468 km,2022,33 ‌,2,150,https://image-annonce.lacentrale.fr/480x369/E112290283_STANDARD_0.jpg?version=1683886691,France,25/09/2022,Non requis,Non,,argent,gris,5,5,4,38 m,Moyen Coffre,8 CV,EURO6,2,C,5
32 330 €,VOLKSWAGEN T-ROC,Essence,Automatique,52 394 km,2022,33 ‌,1.5,150,https://image-annonce.lacentrale.fr/480x369/E112290273_STANDARD_0.jpg?version=1683886692,France,23/05/2022,Non requis,Non,,argent,gris,5,5,4,23 m,Moyen Coffre,8 CV,EURO6,1,D,5
32 110 €,RENAULT SCENIC IV,Essence,Automatique,29 473 km,2023,95 ‌,1.3,140,https://image-annonce.lacentrale.fr/480x369/W102662945_STANDARD_0.jpg?version=1683884010,France,21/05/2023,Non requis,Non,1,blanc nacre,cuir/tissu gris,5,5,4,41 m,Moyen Coffre,7 CV,EURO6,1,D,5
16 450 €,RENAULT CAPTUR phase 2,Diesel,Manuelle,112 240 km,2019,34 ‌,1.5,110,https://image-annonce.lacentrale.fr/480x369/E112289810_STANDARD_0.jpg?version=1683885801,France,24/08/2019,Non requis,Non,,platine,,5,5,4,12 m,Moyen Coffre,5 CV,EURO6,2,A,5
35 650 €,BMW X4 F26,Diesel,Automatique,180 710 km,2016,95 ‌,3,258,https://image-annonce.lacentrale.fr/480x369/W102662466_STANDARD_0.jpg?version=1683876928,France,16/06/2016,Requis,Non,2,blanc verni,cuir noir,5,5,4,67 m,Moyen Coffre,16 CV,EURO6,2,D,6
18 970 €,RENAULT SCENIC IV,Diesel,Manuelle,39 471 km,2018,76 ‌,1.5,110,https://image-annonce.lacentrale.fr/480x369/E112290487_STANDARD_0.jpg?version=1683897367,France,24/03/2018,Requis,Non,2,Orange,Noir,5,5,4,41 m,Moyen Coffre,5 CV,EURO6,2,B,6
35 000 €,PEUGEOT 5008 II,Essence,Automatique,90 383 km,2018,33 ‌,1.6,165,https://image-annonce.lacentrale.fr/480x369/E112290095_STANDARD_0.jpg?version=1683889364,France,04/06/2018,Requis,Non,2,gris foncé,cuir,5,7,4,64 m,Grand coffre,9 CV,EURO6,1,C,6
58 220 €,BMW SERIE 5 G30 phase 2,Hybrides,Automatique,43 476 km,2021,68 ‌,2,530,https://image-annonce.lacentrale.fr/480x369/E112290241_STANDARD_0.jpg?version=1683897370,France,18/10/2021,Non requis,Non,2,gris,beige,4,5,4,96 m,Moyen Coffre,10 CV,EURO6,1,A,6
12 050 €,PEUGEOT 2008 phase 2,Diesel,Manuelle,130 926 km,2017,77 ‌,1.6,100,https://image-annonce.lacentrale.fr/480x369/E112290371_STANDARD_0.jpg?version=1683886908,France,14/05/2017,Requis,Non,2,blanc,,5,5,4,16 m,Moyen Coffre,5 CV,EURO6,2,A,6
13 890 €,OPEL CORSA V,Essence,Manuelle,43 745 km,2020,07 ‌,1.4,120,https://image-annonce.lacentrale.fr/480x369/E112290446_STANDARD_0.jpg?version=1683895945,France,09/01/2021,Non requis,Oui,,Gris Acier Satiné,,5,5,4,02 m,Grand coffre,6 CV,EURO6,1,C,6
22 590 €,JEEP GRAND CHEROKEE IV,Diesel,Automatique,154 641 km,2013,92 ‌,3,241,https://image-annonce.lacentrale.fr/480x369/E112290290_STANDARD_0.jpg?version=1683887522,France,08/05/2013,Requis,Non,,noir,noir,5,5,4,82 m,Moyen Coffre,16 CV,EURO5,2,F,6
