model,annee,mise_en_circulation,kilometrage,energie,boite,nb_portes,nb_places,premiere_main,puissance,departement
330.0,2022,2022,8021,2.0,1.0,5,5,1.0,131.0,84
327.0,2018,2018,60654,2.0,2.0,3,5,0.0,101.0,66
339.0,2022,2022,5833,2.0,2.0,5,4,0.0,72.0,13
288.0,2019,2019,64607,2.0,1.0,5,5,0.0,510.0,75
456.0,2017,2017,117600,0.0,2.0,5,5,0.0,110.0,1
246.0,2020,2020,107600,0.0,1.0,5,5,0.0,116.0,42
38.0,2017,2017,83151,0.0,1.0,5,5,1.0,150.0,35
315.0,2022,2022,12,2.0,2.0,5,5,0.0,92.0,84
354.0,2022,2022,22609,0.0,1.0,5,5,0.0,130.0,82
343.0,2021,2021,27731,2.0,1.0,5,5,0.0,130.0,24
82.0,2021,2021,9184,2.0,1.0,4,5,1.0,184.0,35
94.0,2018,2018,73458,0.0,1.0,5,3,1.0,169.875,69
468.0,2017,2017,149500,0.0,2.0,5,2,1.0,75.0,24
351.0,2016,2016,122233,0.0,2.0,5,5,1.0,99.0,35
404.0,2021,2021,8903,0.0,2.0,4,2,1.0,80.0,24
411.0,2017,2017,130140,0.0,1.0,5,5,0.0,110.0,94
153.0,2018,2018,39711,2.0,2.0,5,5,1.0,90.0,72
23.0,2022,2022,6360,2.0,1.0,5,5,0.0,150.0,94
343.0,2022,2022,1,2.0,2.0,5,5,1.0,130.0,42
350.0,2021,2021,19641,2.0,2.0,5,5,1.0,130.0,17
22.0,2021,2021,9143,2.0,1.0,5,5,1.0,150.0,69
126.0,2018,2018,37889,0.0,2.0,5,5,1.0,99.0,24
456.0,2018,2018,122040,0.0,2.0,3,5,0.0,184.0,59
308.0,2018,2018,120700,2.0,1.0,5,5,0.0,231.0,77
125.0,2015,2015,77000,0.0,2.0,5,5,0.0,68.0,11
240.0,2016,2016,124146,0.0,1.0,5,7,0.0,306.0,69
392.0,2019,2019,46394,2.0,2.0,5,5,0.0,118.0,77
45.0,2020,2020,16989,2.0,1.0,5,5,0.0,400.0,67
124.0,2017,2017,82950,2.0,2.0,3,4,0.0,69.0,26
